A Ion Radius,X Ion Radius,t,μ,B NumberofProtons,X1 NumberofProtons,B SpecificHeat,X1 SpecificHeat,X2 SpecificHeat,X3 SpecificHeat,X4 SpecificHeat,A1 Density,A2 Density,B Density,B FirstIonization,X4 FirstIonization,B AtomicMass,A2 MeltingPoint,B MeltingPoint,X3 MeltingPoint,Ef (eV)
167.0,220.0,0.807228095,0.540909091,82,53,0.129,0.214,0.214,0.214,0.214,1.87,1.87,11.3,7.4167,10.4513,207.2,301.7,600.75,386.65,-0.632081706
89.0,133.0,0.843966158,0.398496241,32,9,0.32,0.824,0.824,0.824,0.824,0.534,0.971,5.32,7.8994,17.4228,72.64,371.15,1211.45,53.63,4.210787704
120.0,181.0,0.909568979,0.29281768,32,17,0.32,0.479,0.479,0.479,0.479,0.971,0.862,5.32,7.8994,12.9676,72.64,336.5,1211.45,172.31,-0.572812853
152.5,181.0,0.943280446,0.38121547,50,17,0.228,0.479,0.479,0.479,0.479,0.862,1.87,7.29,7.3439,12.9676,118.71,301.7,505.21,172.31,-1.363966793
107.0,196.0,0.808503225,0.352040816,50,35,0.228,0.474,0.474,0.474,0.474,0.534,0.862,7.29,7.3439,11.8138,118.71,336.5,505.21,266.05,0.400141291
145.0,196.0,0.76547115,0.607142857,82,35,0.129,0.474,0.474,0.474,0.474,0.862,1.53,11.3,7.4167,11.8138,207.2,312.79,600.75,266.05,-2.81856684
159.5,220.0,0.79158414,0.540909091,82,53,0.129,0.214,0.214,0.214,0.214,1.53,1.87,11.3,7.4167,10.4513,207.2,301.7,600.75,386.65,-0.755894853
76.0,145.0,0.789245448,0.365517241,32,9,0.32,0.824,0.824,0.824,0.479,0.534,0.534,5.32,7.8994,12.9676,72.64,453.85,1211.45,53.63,4.5611965
102.0,145.0,0.882097853,0.365517241,32,9,0.32,0.824,0.824,0.824,0.479,0.971,0.971,5.32,7.8994,12.9676,72.64,371.15,1211.45,53.63,-2.312083835
76.0,184.75,0.726613175,0.373477673,50,17,0.228,0.479,0.479,0.479,0.474,0.534,0.534,7.29,7.3439,11.8138,118.71,453.85,505.21,172.31,1.984229
102.0,184.75,0.799065496,0.373477673,50,17,0.228,0.479,0.479,0.479,0.474,0.971,0.971,7.29,7.3439,11.8138,118.71,371.15,505.21,172.31,-1.629336441
76.0,202.0,0.612385312,0.589108911,82,35,0.129,0.474,0.474,0.474,0.214,0.534,0.534,11.3,7.4167,10.4513,207.2,453.85,600.75,266.05,0.772465
102.0,202.0,0.669658759,0.589108911,82,35,0.129,0.474,0.474,0.474,0.214,0.971,0.971,11.3,7.4167,10.4513,207.2,371.15,600.75,266.05,-3.512650847
138.0,157.0,0.993316669,0.337579618,32,9,0.32,0.824,0.824,0.479,0.479,0.862,0.862,5.32,7.8994,12.9676,72.64,336.5,1211.45,172.31,0.279485357
152.0,148.75,1.054088547,0.356302521,32,9,0.32,0.824,0.824,0.824,0.474,1.53,1.53,5.32,7.8994,11.8138,72.64,312.79,1211.45,53.63,-1.03808334
138.0,198.25,0.889671301,0.348045397,50,35,0.228,0.474,0.474,0.214,0.479,0.862,0.862,7.29,7.3439,12.9676,118.71,336.5,505.21,386.65,-0.185913949
167.0,210.25,0.810192963,0.565992866,82,53,0.129,0.214,0.214,0.214,0.479,1.87,1.87,11.3,7.4167,12.9676,207.2,301.7,600.75,386.65,-1.690069293
138.0,182.5,0.751667408,0.652054795,82,9,0.129,0.824,0.479,0.474,0.214,0.862,0.862,11.3,7.4167,10.4513,207.2,336.5,600.75,266.05,-0.513714474
167.0,208.0,0.957274523,0.331730769,50,35,0.228,0.474,0.474,0.214,0.214,1.87,1.87,7.29,7.3439,10.4513,118.71,301.7,505.21,386.65,-0.882505659
152.0,154.75,0.792347051,0.768982229,82,9,0.129,0.824,0.824,0.824,0.214,1.53,1.53,11.3,7.4167,10.4513,207.2,312.79,600.75,53.63,0.150269583
152.0,200.5,0.924879927,0.344139651,50,17,0.228,0.479,0.479,0.214,0.214,1.53,1.53,7.29,7.3439,10.4513,118.71,312.79,505.21,386.65,-0.824708559
114.0,133.0,0.939007392,0.398496241,32,9,0.32,0.824,0.824,0.824,0.824,0.534,1.53,5.32,7.8994,17.4228,72.64,312.79,1211.45,53.63,3.772374801
121.5,133.0,0.967519762,0.398496241,32,9,0.32,0.824,0.824,0.824,0.824,0.534,1.87,5.32,7.8994,17.4228,72.64,301.7,1211.45,53.63,2.865345523
114.0,181.0,0.891438036,0.29281768,32,17,0.32,0.479,0.479,0.479,0.479,0.534,1.53,5.32,7.8994,12.9676,72.64,312.79,1211.45,172.31,-1.09000138
121.5,181.0,0.914101715,0.29281768,32,17,0.32,0.479,0.479,0.479,0.479,0.534,1.87,5.32,7.8994,12.9676,72.64,301.7,1211.45,172.31,-1.579614504
114.0,196.0,0.880333744,0.270408163,32,35,0.32,0.474,0.474,0.474,0.474,0.534,1.53,5.32,7.8994,11.8138,72.64,312.79,1211.45,266.05,-1.135393188
121.5,196.0,0.901632141,0.270408163,32,35,0.32,0.474,0.474,0.474,0.474,0.534,1.87,5.32,7.8994,11.8138,72.64,301.7,1211.45,266.05,-1.456756631
114.0,220.0,0.865105,0.240909091,32,53,0.32,0.214,0.214,0.214,0.214,0.534,1.53,5.32,7.8994,10.4513,72.64,312.79,1211.45,386.65,-0.373744088
121.5,220.0,0.88453101,0.240909091,32,53,0.32,0.214,0.214,0.214,0.214,0.534,1.87,5.32,7.8994,10.4513,72.64,301.7,1211.45,386.65,-0.231996882
